cook,year,state,face_rating,incumbent,candidate,party,tossup,jpg
SolidRep,2002,VA,-0.655433144,TRUE,John W. Warner,rep,FALSE,43
SolidDem,2002,WV,0.4940379,TRUE,"John D. Rockefeller, IV",dem,FALSE,44
SolidDem,2002,WV,-0.235476278,FALSE,Jay Wolfe,rep,FALSE,355
SolidRep,2002,WY,-2.12229351,FALSE,Joyce J. Corcoran,dem,FALSE,356
SolidRep,2002,WY,0.953673982,TRUE,Michael B. Enzi,rep,FALSE,45
TossupRep,2004,AK,0.183971505,FALSE,Tony Knowles,dem,TRUE,107
TossupRep,2004,AK,0.822709449,TRUE,Lisa Murkowski,rep,TRUE,108
SolidRep,2004,AL,-0.96533616,FALSE,Wayne Sowell,dem,FALSE,106
SolidRep,2004,AL,1.161491045,TRUE,Richard C. Shelby,rep,FALSE,105
SolidDem,2004,AR,1.135565712,TRUE,Blanche L. Lincoln,dem,FALSE,110
SolidDem,2004,AR,0.870039599,FALSE,Jim Holt,rep,FALSE,109
LikelyDem,2004,CA,0.634225493,FALSE,Bill Jones,rep,FALSE,111
LikelyRep,2004,CO,0.639130754,FALSE,Ken Salazar,dem,FALSE,113
LikelyRep,2004,CO,0.095792687,FALSE,Pete Coors,rep,FALSE,112
SolidDem,2004,CT,-0.543625744,TRUE,Christopher Dodd,dem,FALSE,114
SolidDem,2004,CT,0.291273661,FALSE,Jack Orchulli,rep,FALSE,115
LikelyDem,2004,FL,-0.45368527,FALSE,Betty Castor,dem,FALSE,116
LikelyDem,2004,FL,0.326466551,FALSE,Mel Martinez,rep,FALSE,117
LeanRep,2004,GA,0.008673011,FALSE,Denise L. Majette,dem,FALSE,102
LeanRep,2004,GA,-1.006178561,FALSE,Johnny Isakson,rep,FALSE,101
SolidDem,2004,HI,-0.535276893,TRUE,Daniel K. Inouye,dem,FALSE,292
SolidDem,2004,HI,-1.256600172,FALSE,Cam Cavasso,rep,FALSE,291
SolidRep,2004,IA,-0.805323639,FALSE,Arthur Small,dem,FALSE,306
SolidRep,2004,IA,-0.047894812,TRUE,Charles E. Grassley,rep,FALSE,305
SolidRep,2004,ID,0.404805531,TRUE,Mike Crapo,rep,FALSE,553
TossupRep,2004,IL,0.581563587,FALSE,Allen L. Keyes,rep,TRUE,302
SolidDem,2004,IN,1.841935779,TRUE,Evan Bayh,dem,FALSE,303
SolidDem,2004,IN,0.343732877,FALSE,Marvin Scott,rep,FALSE,304
SolidRep,2004,KS,1.14168869,FALSE,Lee Jones,dem,FALSE,308
SolidRep,2004,KS,0.396968802,TRUE,Samuel Brownback,rep,FALSE,307
LikelyRep,2004,KY,-1.311495948,FALSE,Daniel Mongiardo,dem,FALSE,310
LikelyRep,2004,KY,-0.702301923,TRUE,Jim Bunning,rep,FALSE,309
SolidDem,2004,LA,0.845754862,FALSE,David Vitter,rep,FALSE,312
SolidDem,2004,MD,-1.505998531,TRUE,Barbara A. Mikulski,dem,FALSE,313
SolidDem,2004,MD,-1.443879561,FALSE,E. J. Pipkin,rep,FALSE,314
LikelyRep,2004,MO,0.82069992,FALSE,Nancy Farmer,dem,FALSE,316
LikelyRep,2004,MO,0.570390298,TRUE,Christopher Bond,rep,FALSE,315
TossupDem,2004,NC,-1.60763301,FALSE,Erskine Bowles,dem,TRUE,317
TossupDem,2004,NC,0.676092017,FALSE,Richard Burr,rep,TRUE,318
SolidDem,2004,ND,-0.348373335,TRUE,Byron L. Dorgan,dem,FALSE,319
SolidDem,2004,ND,-0.282377308,FALSE,Mike Liffrig,rep,FALSE,320
SolidRep,2004,NH,-3.313179744,FALSE,Doris R. Haddock,dem,FALSE,323
SolidRep,2004,NH,0.056278426,TRUE,Judd Gregg,rep,FALSE,322
LikelyDem,2004,NV,0.403179904,FALSE,Richard Ziser,rep,FALSE,321
SolidDem,2004,NY,0.340758939,TRUE,Charles E. Schumer,dem,FALSE,325
SolidDem,2004,NY,1.057035994,FALSE,Howard Mills,rep,FALSE,324
SolidRep,2004,OH,0.954626723,FALSE,Eric D. Fingerhut,dem,FALSE,326
SolidRep,2004,OH,-0.27277947,TRUE,George V. Voinovich,rep,FALSE,327
SolidRep,2004,OK,-0.16770673,FALSE,Brad Carson,dem,FALSE,328
SolidRep,2004,OK,0.335338209,FALSE,Tom Coburn,rep,FALSE,329
SolidDem,2004,OR,0.203056758,TRUE,Ron Wyden,dem,FALSE,576
SolidDem,2004,OR,-0.388607632,FALSE,Al King,rep,FALSE,330
LikelyRep,2004,PA,0.67747479,FALSE,Joseph Hoeffel,dem,FALSE,103
LikelyRep,2004,PA,0.923055799,TRUE,Arlen Specter,rep,FALSE,104
TossupDem,2004,SC,0.755344148,FALSE,Inez Tenenbaum,dem,TRUE,589
TossupDem,2004,SC,1.334609288,FALSE,Jim DeMint,rep,TRUE,588
LikelyDem,2004,SD,2.211542888,FALSE,John R. Thune,rep,FALSE,590
SolidRep,2004,UT,1.00021494,FALSE,R. Paul Van Dam,dem,FALSE,592
SolidRep,2004,UT,-0.861896148,TRUE,Robert F. Bennett,rep,FALSE,591
SolidDem,2004,VT,-0.356639709,TRUE,Patrick J. Leahy,dem,FALSE,593
SolidDem,2004,VT,-1.431998281,FALSE,Jack McMullen,rep,FALSE,594
LikelyDem,2004,WA,-0.572770016,TRUE,Patty Murray,dem,FALSE,595
LikelyDem,2004,WA,1.409487281,FALSE,"George R. Nethercutt, Jr.",rep,FALSE,596
LikelyDem,2004,WI,1.98375516,TRUE,Russ Feingold,dem,FALSE,597
LikelyDem,2004,WI,1.280413748,FALSE,Tim Michels,rep,FALSE,598
SolidRep,2006,AZ,0.23098665,TRUE,Jon Kyl,rep,FALSE,47
SolidDem,2006,CA,-0.063243046,FALSE,Richard Mountjoy,rep,FALSE,357
SolidDem,2006,DE,0.631436146,TRUE,Thomas R. Carper,dem,FALSE,49
SolidDem,2006,DE,-0.817932255,FALSE,Jan Ting,rep,FALSE,358
LeanDem,2006,FL,0.729197438,TRUE,Bill Nelson,dem,FALSE,51
LeanDem,2006,FL,0.466523309,FALSE,Katherine Harris,rep,FALSE,359
SolidDem,2006,HI,-1.070298943,TRUE,Daniel K. Akaka,dem,FALSE,55
SolidDem,2006,HI,0.252032086,FALSE,Cynthia Thielen,rep,FALSE,360
SolidRep,2006,IN,0.665890342,TRUE,Richard G. Lugar,rep,FALSE,57
SolidDem,2006,MA,0.180423876,TRUE,Edward M. Kennedy,dem,FALSE,59
SolidDem,2006,MA,-0.650990639,FALSE,Kenneth G. Chase,rep,FALSE,361
LeanDem,2006,MD,-0.681929453,FALSE,Benjamin L. Cardin,dem,FALSE,362
LeanDem,2006,MD,0.421784105,FALSE,Michael S. Steele,rep,FALSE,363
SolidRep,2006,ME,-1.451690587,FALSE,Jean Hay Bright,dem,FALSE,364
SolidRep,2006,ME,-0.256712427,TRUE,Olympia J. Snowe,rep,FALSE,62
LeanDem,2006,MI,-0.426345615,TRUE,Debbie Stabenow,dem,FALSE,334
LeanDem,2006,MI,0.664013878,FALSE,Mike Bouchard,rep,FALSE,365
TossupDem,2006,MN,0.520737202,FALSE,Amy Klobuchar,dem,TRUE,366
TossupDem,2006,MN,0.304815521,FALSE,Mark Kennedy,rep,TRUE,367
LeanRep,2006,MO,0.418672567,FALSE,Claire McCaskill,dem,FALSE,368
LeanRep,2006,MO,0.390141814,TRUE,Jim Talent,rep,FALSE,369
SolidRep,2006,MS,-0.443110414,FALSE,Erik R. Fleming,dem,FALSE,370
LikelyRep,2006,MT,-0.541880511,FALSE,Jon Tester,dem,FALSE,371
LikelyDem,2006,ND,-1.204844387,TRUE,Kent Conrad,dem,FALSE,69
LikelyDem,2006,ND,-0.93957517,FALSE,Dwight Grotberg,rep,FALSE,372
LeanDem,2006,NE,-0.57499719,TRUE,Ben Nelson,dem,FALSE,71
LeanDem,2006,NE,-0.881228687,FALSE,Pete Ricketts,rep,FALSE,373
LeanDem,2006,NJ,-0.183890033,TRUE,Robert Menendez,dem,FALSE,374
LeanDem,2006,NJ,-1.50231719,FALSE,"Thomas H. Kean, Jr.",rep,FALSE,375
SolidDem,2006,NM,1.193226296,TRUE,Jeff Bingaman,dem,FALSE,73
SolidDem,2006,NM,-0.494395161,FALSE,Allen McCulloch,rep,FALSE,376
SolidRep,2006,NV,-0.184979646,FALSE,Jack Carter,dem,FALSE,377
SolidRep,2006,NV,1.959171214,TRUE,John Ensign,rep,FALSE,76
SolidDem,2006,NY,-1.677918867,FALSE,John  Spencer,rep,FALSE,378
LikelyRep,2006,OH,0.484298066,FALSE,Sherrod Brown,dem,FALSE,379
LikelyRep,2006,OH,0.029070294,TRUE,Mike DeWine,rep,FALSE,461
TossupRep,2006,PA,1.51071191,TRUE,Rick Santorum,rep,TRUE,80
TossupRep,2006,RI,0.69270536,FALSE,Sheldon Whitehouse,dem,TRUE,381
TossupRep,2006,RI,0.088666414,TRUE,Lincoln Chafee,rep,TRUE,82
TossupRep,2006,TN,-0.247086104,FALSE,"Harold Ford, Jr.",dem,TRUE,382
TossupRep,2006,TN,0.412006475,FALSE,Bob Corker,rep,TRUE,383
SolidRep,2006,TX,-0.029434396,FALSE,Barbara Ann Radnofsky,dem,FALSE,384
SolidRep,2006,TX,0.838465432,TRUE,Kay Bailey Hutchison,rep,FALSE,86
SolidRep,2006,UT,-1.948737761,FALSE,Pete Ashdown,dem,FALSE,385
SolidRep,2006,UT,1.129410218,TRUE,Orrin G. Hatch,rep,FALSE,88
SolidRep,2006,VA,-0.488186974,FALSE,"James H. Webb, Jr.",dem,FALSE,386
SolidRep,2006,VA,0.204971824,TRUE,George F. Allen,rep,FALSE,90
LeanDem,2006,WA,-0.713291042,TRUE,Maria Cantwell,dem,FALSE,93
LeanDem,2006,WA,0.340117594,FALSE,Mike McGavick,rep,FALSE,388
SolidDem,2006,WI,-0.354261941,TRUE,Herb Kohl,dem,FALSE,95
SolidDem,2006,WI,0.186206321,FALSE,Robert Lorge,rep,FALSE,389
LikelyDem,2006,WV,1.466836493,TRUE,Robert C. Byrd,dem,FALSE,97
LikelyDem,2006,WV,0.326274725,FALSE,John Raese,rep,FALSE,390
SolidRep,2006,WY,-1.5039465,FALSE,Dale Groutage,dem,FALSE,391
SolidRep,2006,WY,0.476648883,TRUE,Craig L. Thomas,rep,FALSE,100
